Country Name,Country Code,Indicator Name,Indicator Code,region,Image URL,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,Asia,https://www.countryflags.io/af/flat/64.png,,14.04498667,14.32380755,14.61753668,14.92629507,15.250314000000001,15.58501976,15.92979506,16.29302301,16.68623595,17.11491285,17.57719113,18.06086297,18.54756456,19.01318813,19.43626505,19.8252198,20.17477867,20.43500597,20.54200901,20.45846123,20.17534081,19.73245106,19.20431639,18.69358208,18.28601538,17.97656312,17.77491958,17.79555341,18.17981956,19.01220476,20.37039641,22.18782894,24.22663818,26.15526606,27.74049107,28.87822351,29.64973501,30.23276813,30.89612474,31.82911038,33.09589805,34.61809576,36.27251019,37.87440493,39.2952195,40.48808167,41.51048617,42.46281898,43.49295867,44.70408204,46.13150293,47.73056398,49.42803817,51.11477805,52.71207149999999,54.19711424,55.59599302,56.93776001,48.57045491,49.27272504,49.97499516,50.67726529,51.37953542,52.08180554,52.78407567,53.48634579,54.18861592,54.89088605,55.59315617,56.2954263,56.99769642,57.69996655,58.40223667,59.1045068,59.80677693,60.50904705,61.21131718,61.9135873,62.61585743,63.31812756,64.02039768,64.72266781,65.42493793,66.12720806,66.82947819,67.53174831,68.23401844,68.93628856,69.63855869,70.34082881,71.04309894,71.74536907,72.44763919,73.14990932,73.85217944,74.55444957,75.2567197,75.95898982,76.66125995,77.36353007,78.0658002,78.76807033,79.47034045,80.17261058,80.8748807,81.57715083,82.27942095,82.98169108,83.68396121,84.38623133,85.08850146,85.79077158,86.49304171,87.19531184,87.89758196,88.59985209,89.30212221,90.00439234,90.70666247,91.40893259,92.11120272,92.81347284,93.51574297,94.21801309,94.92028322,95.62255335,96.32482347,97.0270936,97.72936372,98.43163385,99.13390398,99.8361741,100.5384442,101.2407144,101.9429845,102.6452546,103.3475247,104.0497949,104.752065,105.4543351
Albania,ALB,Population density (people per sq. km of land area),EN.POP.DNST,Europe,https://www.countryflags.io/al/flat/64.png,,60.57664234,62.45689781,64.32923358,66.20930657,68.05806569,69.87492701,71.73715328,73.80554745,75.97427007,77.93718978,79.84864964,81.86591241,83.82306569,85.77094891,87.76755474,89.72722628,91.73525547,93.65934307,95.54131387,97.51813869,99.49109489,101.6159854,103.7941606,106.0010584,108.20299270000001,110.315146,112.54032849999999,114.6837956,117.80813870000001,119.9467883,119.22591240000001,118.505073,117.78419709999999,117.06335770000001,116.3424818,115.62164229999999,114.90076640000001,114.179927,113.4590511,112.73821170000001,111.685146,111.3507299,110.93489050000001,110.4722263,109.90828470000001,109.21704380000001,108.39478100000001,107.5662044,106.8437591,106.31463500000001,106.0290146,105.85405109999999,105.660292,105.44175179999999,105.13514599999999,104.9671898,104.87069340000001,104.6122628,122.1491633,122.9188633,123.6885632,124.4582632,125.2279631,125.9976631,126.767363,127.537063,128.3067629,129.0764629,129.8461628,130.6158628,131.3855627,132.1552627,132.9249626,133.6946626,134.4643625,135.2340625,136.0037624,136.7734624,137.5431623,138.3128623,139.0825622,139.8522622,140.6219621,141.3916621,142.161362,142.931062,143.7007619,144.4704619,145.2401619,146.0098618,146.7795618,147.5492617,148.3189617,149.0886616,149.8583616,150.6280615,151.3977615,152.1674614,152.9371614,153.7068613,154.4765613,155.2462612,156.0159612,156.7856611,157.5553611,158.325061,159.094761,159.8644609,160.6341609,161.4038608,162.1735608,162.9432607,163.7129607,164.4826606,165.2523606,166.0220605,166.7917605,167.5614605,168.3311604,169.1008604,169.8705603,170.6402603,171.4099602,172.1796602,172.9493601,173.7190601,174.48876,175.25846,176.0281599,176.7978599,177.5675598,178.3372598,179.1069597,179.8766597,180.6463596,181.4160596,182.1857595,182.9554595,183.7251594,184.4948594
Algeria,DZA,Population density (people per sq. km of land area),EN.POP.DNST,Africa,https://www.countryflags.io/dz/flat/64.png,,4.759687875,4.878713881,5.00172269,5.131406031,5.269628507,5.417311292999999,5.573667151,5.736807123999999,5.903970207,6.073284657,6.244279392,6.417992728,6.595944562000001,6.780347561,6.972930295,7.173663372,7.382377589,7.600437495,7.8294923039999995,8.070429602,8.323453022,8.587378135,8.859856659,9.137678756,9.418115327,9.699794687999999,9.981897267999999,10.26286119,10.5411128,10.81514733,11.08453442,11.34814295,11.603078,11.84586647,12.07427553,12.28782529,12.48792018,12.67676321,12.85757723,13.03342724,13.20526758,13.37472142,13.54646477,13.72616784,13.91827991,14.12454844,14.34538279,14.58203162,14.8353225,15.10553419,15.39271457,15.69604029,16.01355815,16.34254243,16.68025267,17.02595749,17.37771461,17.73007507,17.35072072,17.57958012,17.80843951,18.03729891,18.2661583,18.4950177,18.72387709,18.95273649,19.18159588,19.41045528,19.63931467,19.86817407,20.09703347,20.32589286,20.55475226,20.78361165,21.01247105,21.24133044,21.47018984,21.69904923,21.92790863,22.15676802,22.38562742,22.61448681,22.84334621,23.0722056,23.301065,23.5299244,23.75878379,23.98764319,24.21650258,24.44536198,24.67422137,24.90308077,25.13194016,25.36079956,25.58965895,25.81851835,26.04737774,26.27623714,26.50509654,26.73395593,26.96281533,27.19167472,27.42053412,27.64939351,27.87825291,28.1071123,28.3359717,28.56483109,28.79369049,29.02254988,29.25140928,29.48026867,29.70912807,29.93798747,30.16684686,30.39570626,30.62456565,30.85342505,31.08228444,31.31114384,31.54000323,31.76886263,31.99772202,32.22658142,32.45544081,32.68430021,32.91315961,33.142019,33.3708784,33.59973779,33.82859719,34.05745658,34.28631598,34.51517537,34.74403477,34.97289416,35.20175356,35.43061295,35.65947235,35.88833174
American Samoa,ASM,Population density (people per sq. km of land area),EN.POP.DNST,Oceania,https://www.countryflags.io/as/flat/64.png,,103.01,106.265,110.17,114.27,118.36,122.31,126.24,129.945,133.515,136.815,139.92,142.835,145.5,147.98,150.26,152.28,154.19,156.345,159.225,163.23,168.505,174.84,182.06,189.73,197.595,205.595,213.7,221.715,229.47,236.735,243.425,249.48,255.1,260.475,265.805,271.055,276.105,280.855,285.265,289.105,292.47,295.4,297.52,298.405,297.81,295.535,291.825,287.46,283.415,280.395,278.795,278.335,278.565,278.955,279.06,278.705,278.1,277.325,328.7582759,332.5634337,336.3685915,340.1737493,343.9789071,347.7840649,351.5892227,355.3943805,359.1995383,363.0046961,366.8098539,370.6150117,374.4201695,378.2253273,382.0304851,385.8356429,389.6408007,393.4459585,397.2511163,401.0562741,404.8614319,408.6665897,412.4717475,416.2769053,420.0820631,423.8872209,427.6923787,431.4975365,435.3026943,439.1078521,442.9130099,446.7181677,450.5233255,454.3284833,458.1336411,461.9387989,465.7439568,469.5491146,473.3542724,477.1594302,480.964588,484.7697458,488.5749036,492.3800614,496.1852192,499.990377,503.7955348,507.6006926,511.4058504,515.2110082,519.016166,522.8213238,526.6264816,530.4316394,534.2367972,538.041955,541.8471128,545.6522706,549.4574284,553.2625862,557.067744,560.8729018,564.6780596,568.4832174,572.2883752,576.093533,579.8986908,583.7038486,587.5090064,591.3141642,595.119322,598.9244798,602.7296376,606.5347954,610.3399532,614.145111,617.9502688,621.7554267,625.5605845,629.3657423,633.1709001,636.9760579
Andorra,AND,Population density (people per sq. km of land area),EN.POP.DNST,Europe,https://www.countryflags.io/ad/flat/64.png,,30.58510638,32.70212766,34.91914894,37.16808511,39.46595745,41.80212766,44.16595745,46.57446809,49.05957447,51.65106383,54.38085106,57.21702128,60.06808511,62.80851064,65.32978723,67.61063829999999,69.72553191,71.78085106,74.08085106,76.73829787,79.78723404,83.2212766,86.95106383,90.86382979,94.89361702,98.97234043,103.0957447,107.30638300000001,111.59148940000001,115.97659569999999,120.5765957,125.293617,129.72553190000002,133.35531909999997,135.8510638,136.9361702,136.8659574,136.4723404,136.9574468,139.1276596,143.27872340000002,149.0404255,155.70638300000002,162.22127659999998,167.80212769999997,172.32553190000002,175.92340430000002,178.4297872,179.70851059999998,179.67872340000002,178.1851064,175.3765957,171.8595745,168.5382979,165.9808511,164.4617021,163.8319149,163.8425532,194.7568521,197.6253797,200.4939072,203.3624348,206.2309623,209.0994898,211.9680174,214.8365449,217.7050724,220.5736,223.4421275,226.3106551,229.1791826,232.0477101,234.9162377,237.7847652,240.6532927,243.5218203,246.3903478,249.2588753,252.1274029,254.9959304,257.864458,260.7329855,263.601513,266.4700406,269.3385681,272.2070956,275.0756232,277.9441507,280.8126783,283.6812058,286.5497333,289.4182609,292.2867884,295.1553159,298.0238435,300.892371,303.7608986,306.6294261,309.4979536,312.3664812,315.2350087,318.1035362,320.9720638,323.8405913,326.7091188,329.5776464,332.4461739,335.3147015,338.183229,341.0517565,343.9202841,346.7888116,349.6573391,352.5258667,355.3943942,358.2629218,361.1314493,363.9999768,366.8685044,369.7370319,372.6055594,375.474087,378.3426145,381.2111421,384.0796696,386.9481971,389.8167247,392.6852522,395.5537797,398.4223073,401.2908348,404.1593624,407.0278899,409.8964174,412.764945,415.6334725,418.502,421.3705276,424.2390551,427.1075826
Angola,AGO,Population density (people per sq. km of land area),EN.POP.DNST,Africa,https://www.countryflags.io/ao/flat/64.png,,4.4368909919999995,4.498707789,4.555593166,4.600179674,4.628675704,4.637213443,4.631621882,4.629543595,4.654892115,4.724765381,4.845413492,5.012073474,5.211327505,5.423421834,5.634073955,5.839022218999999,6.042941365,6.249063127,6.463517286,6.690694634,6.930653726,7.1813186810000005,7.442124007,7.712163311,7.99069303,8.277942568,8.574035454,8.877877597000001,9.188078126,9.503798828999999,9.825058956,10.15269592,10.4877268,10.83159301,11.18569503,11.55107002,11.92874789,12.32020614,12.72709473,13.1510973,13.59248656,14.05263255,14.53555707,15.04623807,15.58803401,16.16259004,16.7685594,17.40244967,18.05910083,18.73445576,19.42781824,20.13951311,20.86771477,21.61047485,22.3665525,23.13506377,23.91653806,24.71305206,21.05634874,21.39878013,21.74121151,22.08364289,22.42607427,22.76850565,23.11093703,23.45336841,23.79579979,24.13823117,24.48066255,24.82309393,25.16552531,25.50795669,25.85038807,26.19281945,26.53525083,26.87768221,27.22011359,27.56254498,27.90497636,28.24740774,28.58983912,28.9322705,29.27470188,29.61713326,29.95956464,30.30199602,30.6444274,30.98685878,31.32929016,31.67172154,32.01415292,32.3565843,32.69901568,33.04144706,33.38387844,33.72630982,34.06874121,34.41117259,34.75360397,35.09603535,35.43846673,35.78089811,36.12332949,36.46576087,36.80819225,37.15062363,37.49305501,37.83548639,38.17791777,38.52034915,38.86278053,39.20521191,39.54764329,39.89007467,40.23250606,40.57493744,40.91736882,41.2598002,41.60223158,41.94466296,42.28709434,42.62952572,42.9719571,43.31438848,43.65681986,43.99925124,44.34168262,44.684114,45.02654538,45.36897676,45.71140814,46.05383952,46.39627091,46.73870229,47.08113367,47.42356505,47.76599643,48.10842781,48.45085919,48.79329057
Antigua and Barbuda,ATG,Population density (people per sq. km of land area),EN.POP.DNST,Americas,https://www.countryflags.io/ag/flat/64.png,,125.00227269999999,126.91136359999999,128.8681818,131.0022727,133.4045455,136.1704545,139.1840909,142.09318180000002,144.43181819999998,145.8568182,146.2659091,145.75681819999997,144.6590909,143.4545455,142.44318180000002,141.74318180000003,141.2704545,140.9909091,140.8,140.6022727,140.4545455,140.40681819999998,140.425,140.4227273,140.4227273,140.35,140.2659091,140.3886364,140.9272727,142.1090909,144.0159091,146.525,149.49318180000003,152.7363636,156.06818180000002,159.4840909,162.9636364,166.4181818,169.7136364,172.7636364,175.4818182,177.94318180000002,180.2272727,182.5818182,185.1477273,187.9636364,190.96818180000002,194.0840909,197.15,200.0636364,202.8477273,205.475,207.9909091,210.3681818,212.65,214.8340909,216.8772727,218.83181820000001,205.0046568,206.501745,207.9988331,209.4959213,210.9930094,212.4900976,213.9871857,215.4842739,216.981362,218.4784502,219.9755383,221.4726265,222.9697146,224.4668028,225.9638909,227.4609791,228.9580672,230.4551554,231.9522435,233.4493317,234.9464198,236.443508,237.9405961,239.4376842,240.9347724,242.4318605,243.9289487,245.4260368,246.923125,248.4202131,249.9173013,251.4143894,252.9114776,254.4085657,255.9056539,257.402742,258.8998302,260.3969183,261.8940065,263.3910946,264.8881828,266.3852709,267.8823591,269.3794472,270.8765354,272.3736235,273.8707117,275.3677998,276.864888,278.3619761,279.8590643,281.3561524,282.8532406,284.3503287,285.8474169,287.344505,288.8415932,290.3386813,291.8357695,293.3328576,294.8299458,296.3270339,297.8241221,299.3212102,300.8182984,302.3153865,303.8124747,305.3095628,306.806651,308.3037391,309.8008273,311.2979154,312.7950036,314.2920917,315.7891798,317.286268,318.7833561,320.2804443,321.7775324,323.2746206,324.7717087,326.2687969
Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,Americas,https://www.countryflags.io/ar/flat/64.png,,7.60673149,7.729429347000001,7.852154245,7.974752347000001,8.097245212,8.219431138,8.34178113,8.46579883,8.593450848,8.726074565,8.864563031,9.008391524,9.155760426,9.304050514,9.451481900000001,9.597243751,9.742206096,9.888239808,10.03805181,10.19352868,10.3550329,10.52166961,10.69249604,10.86608019,11.04117712,11.21755259,11.39493878,11.57198989,11.74708644,11.91901567,12.08722946,12.2517808,12.41284581,12.57090573,12.72638479,12.87919859,13.02940011,13.17776548,13.325301000000001,13.4727671,13.62070677,13.76909661,13.91749449,14.06515608,14.21166848,14.35671486,14.50083678,14.6454878,14.79261005,14.90430155,15.0771516,15.2495427,15.42116023,15.59164538,15.76063274,15.92813508,16.09419079,16.2585101,16.36739616,16.52229561,16.67719505,16.8320945,16.98699394,17.14189339,17.29679283,17.45169228,17.60659172,17.76149117,17.91639061,18.07129006,18.2261895,18.38108895,18.53598839,18.69088784,18.84578728,19.00068673,19.15558617,19.31048562,19.46538506,19.62028451,19.77518395,19.9300834,20.08498284,20.23988229,20.39478173,20.54968118,20.70458062,20.85948007,21.01437951,21.16927896,21.3241784,21.47907785,21.63397729,21.78887674,21.94377618,22.09867563,22.25357507,22.40847452,22.56337396,22.71827341,22.87317285,23.0280723,23.18297174,23.33787119,23.49277063,23.64767008,23.80256952,23.95746897,24.11236841,24.26726786,24.4221673,24.57706675,24.73196619,24.88686564,25.04176508,25.19666453,25.35156397,25.50646342,25.66136286,25.81626231,25.97116175,26.1260612,26.28096064,26.43586009,26.59075953,26.74565898,26.90055842,27.05545787,27.21035731,27.36525676,27.5201562,27.67505565,27.82995509,27.98485454,28.13975398,28.29465343,28.44955287,28.60445232,28.75935176,28.91425121
Armenia,ARM,Population density (people per sq. km of land area),EN.POP.DNST,Asia,https://www.countryflags.io/am/flat/64.png,,68.1943098,70.58398314,72.97428872,75.34250088,77.67190025,79.94499473,82.16111697,84.33940991,86.50958904,88.69223744,90.89244819,93.09750615,95.2857745,97.42704601,99.49978925,101.4955743,103.4205479,105.2833509,107.0990165,108.87790659999999,110.5759045,112.1773446,113.754654,115.4056551,117.1738672,119.1522304,121.2485774,123.1000702,124.2175623,124.2771689,123.12110990000002,120.927889,118.12813490000002,115.3377942,113.0083597,111.2827889,110.0487882,109.1916754,108.50094840000001,107.81844050000001,107.1544433,106.56754479999998,106.00393400000002,105.39936780000001,104.7161574,103.90962420000001,103.0073059,102.12918859999999,101.4433439,101.06494559999999,101.03751319999999,101.30765720000001,101.7767475,102.2972603,102.75915,103.1312259,103.43551109999999,103.6802248,114.9566202,115.365399,115.7741778,116.1829567,116.5917355,117.0005143,117.4092931,117.818072,118.2268508,118.6356296,119.0444084,119.4531873,119.8619661,120.2707449,120.6795237,121.0883026,121.4970814,121.9058602,122.314639,122.7234179,123.1321967,123.5409755,123.9497543,124.3585332,124.767312,125.1760908,125.5848696,125.9936485,126.4024273,126.8112061,127.2199849,127.6287638,128.0375426,128.4463214,128.8551002,129.2638791,129.6726579,130.0814367,130.4902155,130.8989944,131.3077732,131.716552,132.1253308,132.5341097,132.9428885,133.3516673,133.7604461,134.169225,134.5780038,134.9867826,135.3955614,135.8043403,136.2131191,136.6218979,137.0306767,137.4394556,137.8482344,138.2570132,138.665792,139.0745709,139.4833497,139.8921285,140.3009073,140.7096862,141.118465,141.5272438,141.9360226,142.3448015,142.7535803,143.1623591,143.5711379,143.9799168,144.3886956,144.7974744,145.2062532,145.6150321,146.0238109,146.4325897,146.8413686,147.2501474,147.6589262,148.067705
Aruba,ABW,Population density (people per sq. km of land area),EN.POP.DNST,Americas,https://www.countryflags.io/aw/flat/64.png,,307.9888889,312.3611111,314.97222220000003,316.8444444,318.6666667,320.6388889,322.52777779999997,324.3666667,326.25555560000004,328.1277778,330.22222220000003,332.44444439999995,334.6833333,336.2666667,336.9833333,336.5888889,335.3666667,333.9055556,333.22222220000003,333.8666667,336.4833333,340.80555560000005,345.5611111,349.0888889,350.14444439999994,348.0222222,343.5166667,339.3277778,339.0666667,345.2722222,359.0111111,379.0833333,402.8,426.1111111000001,446.2444444,462.22222220000003,474.7277778,484.8722222,494.47222220000003,504.73888889999995,516.1,527.7333333,538.9833332999999,548.5388889,555.7277778,560.1888888999999,562.3444444,563.1,563.6388889,564.8277778,566.9222222,569.7777778,573.1055556,576.5222222,579.6722222,582.6222222,585.3666667,588.0277778,595.5250857,601.3751048,607.225124,613.0751431,618.9251623,624.7751814,630.6252005,636.4752197,642.3252388,648.175258,654.0252771,659.8752962,665.7253154,671.5753345,677.4253537,683.2753728,689.1253919,694.9754111,700.8254302,706.6754494,712.5254685,718.3754876,724.2255068,730.0755259,735.9255451,741.7755642,747.6255833,753.4756025,759.3256216,765.1756408,771.0256599,776.875679,782.7256982,788.5757173,794.4257365,800.2757556,806.1257747,811.9757939,817.825813,823.6758322,829.5258513,835.3758704,841.2258896,847.0759087,852.9259279,858.775947,864.6259661,870.4759853,876.3260044,882.1760236,888.0260427,893.8760618,899.726081,905.5761001,911.4261193,917.2761384,923.1261575,928.9761767,934.8261958,940.676215,946.5262341,952.3762532,958.2262724,964.0762915,969.9263107,975.7763298,981.6263489,987.4763681,993.3263872,999.1764064,1005.026426,1010.876445,1016.726464,1022.576483,1028.426502,1034.276521,1040.12654,1045.976559,1051.826579,1057.676598,1063.526617,1069.376636
